NumeroScheda,Intestazione,Titolo,Anno,NumeroArchivio,Tecnica,Dimensioni,SegniRecto,SegniVerso,Collocazione,Provenienza,EsposizioniPersonali,EsposizioniCollettive,Bibliografia,Note,ImmagineRecto,ImmagineVerso,ImmagineLaterale,Illustrazione1,Illustrazione2,Illustrazione3,PaginePDF,TestoIntegrale
112,1932 p113,Paesaggetto,1932 ca.,1932 p113,olio su cartone,cm 23 x 33,«Di Cocco» in basso a sinistra,cfr. note,non nota,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo Pinci, Roma 1932, sala XV, n. 30, p. 53;
Mario Verdone, Francesco Di Cocco, in «Terzocchio», anno XVIII, n. 1, Bologna, marzo 1992, ripr. p. 27;
Mario Verdone (a cura di), Arti senza frontiere, Edizioni Bora, Bologna 1993, ripr. p. 56;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 52.","Bucci (1991) segnala una targhetta apposta in occasione della mostra romana del 1932, dalla quale si ricava il titolo e la notizia che l'opera non fosse in vendita.",,,,,,,144-145,"Donna con ventaglio, 1932
Numero d’archivio: 1932 s0
Tecnica: scultura in gesso
Dimensioni: cm 42 x 22 x 13
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Esposizioni collettive:
1932, Mostra d'arte decorativa, Gallenga, Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 51."
113,1932 s0,Donna con ventaglio,1932,1932 s0,scultura in gesso,cm 42 x 22 x 13,,,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.","1932, Mostra d'arte decorativa, Gallenga, Roma.","Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 51.",,,,,,,,145,"[Statuina], 1932 ca.
Numero d’archivio: 1932 s0/a
Tecnica: scultura in gesso
Dimensioni: cm 51,5 x 17 x 22
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 50."
114,1932 s0/a,[Statuina],1932 ca.,1932 s0/a,scultura in gesso,"cm 51,5 x 17 x 22",,,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 50.",,,,,,,,146,"Recto:
Riposo, 1932
Numero d’archivio: 1932 p275
Tecnica: olio su tela
Dimensioni: cm 118 x 98,5
Segni sul recto: «Di Cocco 32» in basso a sinistra
Segni sul verso: non noto
Collocazione: Collezione Ovidio Jacorossi, Roma
Esposizioni personali:
1984, Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, Chiesa
di S. Paolo, Pinacoteca e Musei Comunali, Macerata.
Esposizioni collettive:
1932, XVIII Esposizione Biennale Internazionale d'Arte, Venezia;
1983, Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, Galleria Arco Farnese, Roma;
2018, Dal simbolismo all'astrazione. Il primo Novecento a Roma nella collezione Jacorossi, Musia,
Roma.
Bibliografia:
XVIII Esposizione Biennale Internazionale d'Arte, catalogo della mostra, Officine Grafiche Carlo
Ferrari, Venezia 1932, sala XXXIV, n. 15, p. 120;
Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, catalogo della mostra, a cura di Lucia
Stefanelli Torossi, presentazione di Antonello Trombadori, De Luca Editore, Roma 1983, n. 67,
ripr. p. 92;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 30, p. 20;
Maurizio Fagiolo Dell'Arco, Scuola Romana: pittura e scultura a Roma dal 1919 al 1943, De Luca
Editore, Roma 1986, ripr. p. 106;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 53;
Dal simbolismo all'astrazione. Il primo Novecento a Roma nella collezione Jacorossi, catalogo
della mostra, a cura di Enrico Crispolti, in collaborazione con Giulia Tulino, Musia, De Luca
Editori d’Arte, Roma 2017, ripr. p. 117."
115,1932 p275,Riposo,1932,1932 p275,olio su tela,"cm 118 x 98,5",«Di Cocco 32» in basso a sinistra,non noto,"Collezione Ovidio Jacorossi, Roma",,"1984, Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, Chiesa di S. Paolo, Pinacoteca e Musei Comunali, Macerata.","1932, XVIII Esposizione Biennale Internazionale d'Arte, Venezia;
1983, Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, Galleria Arco Farnese, Roma;
2018, Dal simbolismo all'astrazione. Il primo Novecento a Roma nella collezione Jacorossi, Musia, Roma.","XVIII Esposizione Biennale Internazionale d'Arte, catalogo della mostra, Officine Grafiche Carlo Ferrari, Venezia 1932, sala XXXIV, n. 15, p. 120;
Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, catalogo della mostra, a cura di Lucia Stefanelli Torossi, presentazione di Antonello Trombadori, De Luca Editore, Roma 1983, n. 67, ripr. p. 92;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 30, p. 20;
Maurizio Fagiolo Dell'Arco, Scuola Romana: pittura e scultura a Roma dal 1919 al 1943, De Luca Editore, Roma 1986, ripr. p. 106;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 53;
Dal simbolismo all'astrazione. Il primo Novecento a Roma nella collezione Jacorossi, catalogo della mostra, a cura di Enrico Crispolti, in collaborazione con Giulia Tulino, Musia, De Luca Editori d’Arte, Roma 2017, ripr. p. 117.",,,,,,,,147-148,"Recto:
[Colazione all'aperto], 1934 ca.
Numero d’archivio: 1934 pc386
Tecnica: olio su carta
Dimensioni: cm 35 x 55,8
Segni sul recto: no
Segni sul verso: non ispezionabile
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 60.
Note:
Restauro Barbara Jatta, 1991. Bucci (1991) afferma come il dipinto si avvicini ad opere del 1934 ca.
per la resa abbozzata dei visi e per la pennellata sfibrata e rapida."
116,1934 pc386,[Colazione all'aperto],1934 ca.,1934 pc386,olio su carta,"cm 35 x 55,8",no,non ispezionabile,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 60.","Restauro Barbara Jatta, 1991. Bucci (1991) afferma come il dipinto si avvicini ad opere del 1934 ca. per la resa abbozzata dei visi e per la pennellata sfibrata e rapida.",,,,,,,148-149,"Recto:
[Studio per ""Ritratto del maestro Castelnuovo Tedesco e della sua famiglia], 1934 ca.
Numero d’archivio: 1934 p266
Tecnica: olio su tavola
Dimensioni: cm 70 x 47
Segni sul recto: no
Segni sul verso: non noto
Collocazione: collezione Costanza Castelnuovo-Tedesco, California
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 56.
Note:
Bucci (1991) identifica il dipinto come uno studio preparatorio per la figura di Pietro, il maggiore
dei figli di Mario Castelnuovo Tedesco, ritratto insieme alla famiglia nel dipinto esposto nel 1935
alla Seconda Quadriennale d'Arte Nazionale (cfr. 1934 p309)."
117,1934 p266,"[Studio per ""Ritratto del maestro Castelnuovo Tedesco e della sua famiglia]",1934 ca.,1934 p266,olio su tavola,cm 70 x 47,no,non noto,"collezione Costanza Castelnuovo-Tedesco, California",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 56.","Bucci (1991) identifica il dipinto come uno studio preparatorio per la figura di Pietro, il maggiore dei figli di Mario Castelnuovo Tedesco, ritratto insieme alla famiglia nel dipinto esposto nel 1935 alla Seconda Quadriennale d'Arte Nazionale (cfr. 1934 p309).",,,,,,,149-150,"Recto:
[Ritratto di Mario Castelnuovo-Tedesco col figlio Lorenzo] o [Studio per “La famiglia
Castelnuovo-Tedesco”], 1934
Numero d’archivio: 1934 p464
Tecnica: olio su tavola
Dimensioni: cm 76,5 x 62,5
Segni sul recto: no
Segni sul verso: non noto
Collocazione: collezione Diana Castelnuovo-Tedesco, New York
Note:
Studio preparatorio per la figura di Mario Castelnuovo-Tedesco con il figlio Lorenzo, ritratti
insieme alla famiglia nel dipinto esposto nel 1935 alla Seconda Quadriennale d'Arte Nazionale (cfr.
1934 p309)."
118,1934 p464,Castelnuovo-Tedesco”],1934,1934 p464,olio su tavola,"cm 76,5 x 62,5",no,non noto,"collezione Diana Castelnuovo-Tedesco, New York",,,,,"Studio preparatorio per la figura di Mario Castelnuovo-Tedesco con il figlio Lorenzo, ritratti insieme alla famiglia nel dipinto esposto nel 1935 alla Seconda Quadriennale d'Arte Nazionale (cfr. 1934 p309).",,,,,,,150,"Recto:
Ritratto del maestro Castelnuovo Tedesco e della sua famiglia, 1934
Numero d’archivio: 1934 p309
Tecnica: olio su tela
Dimensioni: cm 130 x 100
Segni sul recto: «Di Cocco 34» in basso a sinistra
Segni sul verso: non noto
Collocazione: non nota
Esposizioni collettive:
1935, Seconda Quadriennale d’Arte Nazionale, Palazzo delle Esposizioni, Roma.
Bibliografia:
Seconda Quadriennale d'Arte Nazionale, catalogo della mostra, Tumminelli & Co, Roma-Milano
1935, sala LII, n. 18, p. 46, ripr.;
Ercole Maselli, La II Quadriennale d’Arte, in «L'Italia Letteraria», Roma, 9 febbraio 1935, ripr.;
Michele Biancale, La pittura alla II Quadriennale, in «Il Popolo di Roma», Roma, 16 febbraio
1935;
Virgilio Guzzi, Pittura alla II Quadriennale, in «Nuova Antologia», 1° marzo 1935, p. 102;
Alessandro Benedetti, Pittura alla II Quadriennale, in «Corriere Adriatico», 4 maggio 1935;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 26, p. 18;
Roma 1934, catalogo della mostra, a cura di Giuseppe Appella, Fabrizio D'Amico, Edizioni Panini,
Modena 1986, ripr. p. 169;
Carlo Pirovano (a cura di), La pittura in Italia. Il Novecento, vol. II, Electa, Milano 1991, ripr. p.
868;
Mario Castenuovo-Tedesco, Una vita di musica, Cadmo, Fiesole 2005.
Note:
Come afferma Appella (1986) l’opera è scomparsa nell’abitazione fiorentina del maestro, in via
della Robbia, durante l’occupazione tedesca."
119,1934 p309,Ritratto del maestro Castelnuovo Tedesco e della sua famiglia,1934,1934 p309,olio su tela,cm 130 x 100,«Di Cocco 34» in basso a sinistra,non noto,non nota,,,"1935, Seconda Quadriennale d’Arte Nazionale, Palazzo delle Esposizioni, Roma.","Seconda Quadriennale d'Arte Nazionale, catalogo della mostra, Tumminelli & Co, Roma-Milano 1935, sala LII, n. 18, p. 46, ripr.;
Ercole Maselli, La II Quadriennale d’Arte, in «L'Italia Letteraria», Roma, 9 febbraio 1935, ripr.;
Michele Biancale, La pittura alla II Quadriennale, in «Il Popolo di Roma», Roma, 16 febbraio 1935;
Virgilio Guzzi, Pittura alla II Quadriennale, in «Nuova Antologia», 1° marzo 1935, p. 102;
Alessandro Benedetti, Pittura alla II Quadriennale, in «Corriere Adriatico», 4 maggio 1935;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 26, p. 18;
Roma 1934, catalogo della mostra, a cura di Giuseppe Appella, Fabrizio D'Amico, Edizioni Panini, Modena 1986, ripr. p. 169;
Carlo Pirovano (a cura di), La pittura in Italia. Il Novecento, vol. II, Electa, Milano 1991, ripr. p. 868;
Mario Castenuovo-Tedesco, Una vita di musica, Cadmo, Fiesole 2005.","Come afferma Appella (1986) l’opera è scomparsa nell’abitazione fiorentina del maestro, in via della Robbia, durante l’occupazione tedesca.",,,,,,,151-152,"Recto:
Verso:
[Ritratto di Mario Castelnuovo-Tedesco, 1934 ca.
Numero d’archivio: 1934 pCT
Tecnica: olio su tavola
Dimensioni: cm 60 x 40
Segni sul recto: no
Segni sul verso: [Natura morta]
Collocazione: collezione Diana Castelnuovo-Tedesco, Los Angeles"
120,1934 pCT,[Ritratto di Mario Castelnuovo-Tedesco,1934 ca.,1934 pCT,olio su tavola,cm 60 x 40,no,[Natura morta],"collezione Diana Castelnuovo-Tedesco, Los Angeles",,,,,,,,,,,,152-153,"Recto:
[Interno con figure], 1934 ca.
Numero d’archivio: 1934 p108
Tecnica: olio su tela
Dimensioni: cm 39,5 x 60
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 54;
J. T., Francesco Di Cocco, in «ARTnews», New York, dicembre 1991, ripr. p. 142."
121,1934 p108,[Interno con figure],1934 ca.,1934 p108,olio su tela,"cm 39,5 x 60",no,non noto,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 54;
J. T., Francesco Di Cocco, in «ARTnews», New York, dicembre 1991, ripr. p. 142.",,,,,,,,153-154,"Recto:
Verso:
I silos, 1934 ca.
Numero d’archivio: 1934 p121
Tecnica: olio su tavola
Dimensioni: cm 50 x 71
Segni sul recto: cfr. note
Segni sul verso: [Figure sulla soglia], 1934 ca., olio su tavola
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Esposizioni collettive:
1990, Il mondo delle torri. Da Babilonia a Manhattan, Palazzo Reale, Milano.
Bibliografia:
Il mondo delle torri. Da Babilonia a Manhattan, catalogo della mostra, a cura di Paolo Farina,
Mazzotta, Milano 1990, p. 214;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 57, n. 58;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo
della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci,
Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 29.
Note:
Il titolo dell'opera appare sul retro della tavola «Made in/ Italy/ I silos/ Fr Di Cocco» proprio sopra
alla pittura delle Figure sulla soglia che l'artista ha dipinto precedentemente a I silos; il dipinto fa
parte del lotto di opere acquistato da un collezionista fiorentino durante la permanenza di Di Cocco
nella città toscana, Bucci (1991)."
122,1934 p121,I silos,1934 ca.,1934 p121,olio su tavola,cm 50 x 71,cfr. note,"[Figure sulla soglia], 1934 ca., olio su tavola",non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","1990, Il mondo delle torri. Da Babilonia a Manhattan, Palazzo Reale, Milano.","Il mondo delle torri. Da Babilonia a Manhattan, catalogo della mostra, a cura di Paolo Farina, Mazzotta, Milano 1990, p. 214;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 57, n. 58;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci, Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 29.","Il titolo dell'opera appare sul retro della tavola «Made in/ Italy/ I silos/ Fr Di Cocco» proprio sopra alla pittura delle Figure sulla soglia che l'artista ha dipinto precedentemente a I silos; il dipinto fa parte del lotto di opere acquistato da un collezionista fiorentino durante la permanenza di Di Cocco nella città toscana, Bucci (1991).",,,,,,,154-156,"Recto:
Verso il porto, 1934 ca.
Numero d’archivio: 1934
Tecnica: olio su tavola
Dimensioni: cm 61 x 49
Segni sul recto: no
Segni sul verso: cfr. note
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 55.
Note:
Bucci (1991) afferma come sul retro del supporto si possa leggere «Verso il porto made in Italy»,
specificando che la scritta è stata apposta da Di Cocco all'incirca negli stessi anni in cui ha dipinto
l'opera."
